Age,BusinessTravel,Department,DistanceFromHome,Education,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
25,Travel_Rarely,Research & Development,0,Undergraduate,Male,69.30553049425926,1,3,5,Single,6283.959320260959,Yes,38,6,16,10,10,13,0
44,Travel_Rarely,Research & Development,0,Phd,Male,72.4100726586106,2,3,0,Divorced,4282.348662285989,Yes,3,5,2,10,12,6,1
23,Travel_Rarely,Research & Development,0,High School,Male,65.39877826934183,5,0,4,Divorced,2029.553028643379,No,35,2,18,3,2,9,0
31,Travel_Frequently,Research & Development,0,Undergraduate,Male,60.067953118874186,2,1,2,Divorced,5198.519177350519,No,18,4,16,1,1,13,0
51,Travel_Rarely,Sales,2,Undergraduate,Female,58.24117988441121,1,0,5,Single,3719.3905419435564,No,7,3,13,14,13,7,0
36,Travel_Rarely,Sales,1,High School,Male,87.2602930052058,0,1,3,Divorced,2554.457821702652,No,34,1,9,10,0,14,0
28,Non-Travel,Research & Development,1,High School,Male,51.34791801491806,3,4,2,Divorced,3108.619465593092,Yes,36,3,7,2,9,12,1
55,Travel_Rarely,Human Resources,0,Phd,Male,77.15375877640403,1,3,2,Single,3796.193734730681,No,18,5,13,7,2,0,0
29,Travel_Frequently,Research & Development,1,Masters,Male,70.1519710074951,2,2,4,Married,6659.714579634876,Yes,26,1,15,11,11,1,0
33,Travel_Rarely,Sales,0,Undergraduate,Male,69.04483440953636,1,0,3,Divorced,652.4388983027484,No,16,0,0,4,6,4,1
58,Travel_Rarely,Research & Development,0,Phd,Female,44.64561962838597,1,2,3,Married,4967.13981686746,Yes,14,3,4,2,2,3,1
41,Travel_Rarely,Research & Development,1,Undergraduate,Male,52.11280475867722,3,4,1,Married,5202.481431691372,No,6,4,13,2,8,4,1
32,Non-Travel,Research & Development,0,Masters,Male,80.90903688599569,4,2,2,Married,2077.0094853550186,No,11,2,9,12,8,12,1
29,Travel_Rarely,Research & Development,0,Phd,Female,78.08101516133601,1,2,2,Single,5285.995069008427,Yes,22,3,11,2,12,5,1
27,Travel_Rarely,Research & Development,0,Phd,Male,80.17498724068935,2,1,7,Single,4624.910952760457,No,15,3,16,7,5,5,0
33,Travel_Rarely,Sales,0,High School,Male,72.1451054442989,2,2,3,Married,5956.3063397185815,No,8,3,8,10,10,5,1
36,Travel_Rarely,Research & Development,0,High School,Female,74.76684307220631,0,2,2,Single,5474.79975663851,No,32,6,13,3,5,0,1
42,Travel_Rarely,Research & Development,0,Phd,Male,54.09685450374259,1,1,4,Divorced,1697.6849221691964,No,18,2,8,4,1,8,0
51,Travel_Rarely,Sales,0,Masters,Male,51.76521597072441,3,1,2,Single,5288.663094766199,No,0,4,14,2,0,8,0
27,Travel_Rarely,Human Resources,0,Phd,Female,51.75211920255211,2,2,3,Divorced,6093.874999408094,No,24,3,9,2,3,12,0
42,Travel_Rarely,Sales,1,Phd,Male,59.424190486785264,3,2,8,Single,1769.5497259895837,No,15,2,14,10,12,2,0
31,Travel_Rarely,Sales,0,Undergraduate,Male,84.5220927581287,1,3,4,Single,7052.425631530628,No,15,1,6,6,1,0,0
39,Travel_Rarely,Sales,0,Masters,Female,60.915714755454474,1,1,3,Single,1328.9713851158376,Yes,19,2,19,7,7,12,1
44,Travel_Rarely,Human Resources,0,High School,Male,37.66932582524305,2,2,1,Single,5539.900113059086,No,39,2,19,11,13,10,1
27,Travel_Frequently,Research & Development,0,Masters,Female,68.50100320993651,3,1,4,Single,2565.175123687092,Yes,39,5,3,14,6,14,1
38,Travel_Frequently,Sales,0,Masters,Female,50.879504171043855,4,2,2,Married,7392.776193578358,Yes,32,5,8,0,13,10,1
46,Travel_Rarely,Sales,0,Masters,Male,29.21974964928838,1,4,1,Married,3508.620885445751,No,2,4,1,7,10,10,1
32,Travel_Rarely,Research & Development,0,High School,Male,62.28815793157533,3,4,1,Single,5818.609840298668,No,0,0,18,3,11,12,1
50,Travel_Rarely,Sales,0,High School,Male,60.289652760379724,3,1,2,Single,3751.503303778218,No,34,3,2,3,8,6,1
35,Travel_Rarely,Human Resources,0,Undergraduate,Male,40.72914515062478,2,0,3,Married,3836.131682499554,No,10,3,17,6,12,14,1
33,Travel_Rarely,Research & Development,0,Undergraduate,Male,79.49102965327579,0,1,1,Married,4613.239013941067,No,7,7,1,13,7,7,1
39,Travel_Rarely,Sales,0,Phd,Female,73.07808517805503,0,4,1,Single,4150.963044304117,No,33,3,11,10,7,12,1
28,Travel_Rarely,Sales,0,High School,Male,79.14316904178119,0,4,5,Married,10468.505212944809,No,14,2,12,0,12,5,0
42,Travel_Rarely,Research & Development,0,Undergraduate,Male,45.83640451790146,2,1,2,Married,9440.090996718201,No,32,3,10,10,6,2,1
22,Travel_Rarely,Sales,0,Phd,Female,41.52683192164075,0,3,2,Married,6331.24034936064,No,14,1,2,14,10,11,1
44,Travel_Rarely,Research & Development,0,High School,Female,39.04604032516293,5,3,3,Married,1859.0878065073243,Yes,13,2,18,0,9,10,1
26,Travel_Rarely,Research & Development,0,Masters,Male,62.035789457041304,5,3,1,Single,2473.986185959828,No,32,2,1,13,9,13,1
27,Travel_Rarely,Sales,0,Phd,Female,73.57741024479309,1,5,2,Married,9780.603727993652,No,18,3,14,10,10,10,1
34,Travel_Rarely,Human Resources,0,Masters,Male,66.77748248210654,5,0,6,Single,7246.526938002251,No,0,5,15,5,9,14,0
30,Non-Travel,Sales,0,Undergraduate,Male,70.2898575829069,2,3,4,Married,8898.174236597486,Yes,14,3,15,8,6,2,0
43,Travel_Rarely,Sales,0,Masters,Female,58.645017079737706,0,1,1,Married,6278.377369394953,No,10,5,16,11,5,8,1
